,Wolves,Sheep,ModelParams,Run
102,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
103,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
104,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
105,0,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
106,0,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
107,0,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
108,0,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
109,0,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
110,0,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
111,0,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
112,0,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
113,0,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
114,0,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
115,0,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
116,0,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
117,0,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
118,0,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
119,0,3,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
120,0,4,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
121,0,4,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
122,0,4,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
123,0,4,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
124,0,4,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
125,0,5,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
126,0,6,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
127,0,6,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
128,0,6,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
129,0,6,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
130,0,6,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
131,0,6,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
132,0,6,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
133,0,6,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
134,0,7,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
135,0,7,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
136,0,7,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
